400 leads da fila
lote 1/80: ok=5 bloq=0 err=0
lote 2/80: ok=10 bloq=0 err=0
lote 3/80: ok=15 bloq=0 err=0
lote 4/80: ok=20 bloq=0 err=0
lote 5/80: ok=25 bloq=0 err=0
lote 6/80: ok=30 bloq=0 err=0
lote 7/80: ok=35 bloq=0 err=0
lote 8/80: ok=40 bloq=0 err=0
lote 9/80: ok=45 bloq=0 err=0
lote 10/80: ok=50 bloq=0 err=0
lote 11/80: ok=55 bloq=0 err=0
lote 12/80: ok=60 bloq=0 err=0
lote 13/80: ok=65 bloq=0 err=0
lote 14/80: ok=70 bloq=0 err=0
lote 15/80: ok=75 bloq=0 err=0
lote 16/80: ok=80 bloq=0 err=0
lote 17/80: ok=85 bloq=0 err=0
lote 18/80: ok=90 bloq=0 err=0
lote 19/80: ok=95 bloq=0 err=0
lote 20/80: ok=100 bloq=0 err=0
lote 21/80: ok=105 bloq=0 err=0
lote 22/80: ok=110 bloq=0 err=0
lote 23/80: ok=115 bloq=0 err=0
lote 24/80: ok=120 bloq=0 err=0
lote 25/80: ok=125 bloq=0 err=0
lote 26/80: ok=130 bloq=0 err=0
lote 27/80: ok=135 bloq=0 err=0
lote 28/80: ok=140 bloq=0 err=0
lote 29/80: ok=145 bloq=0 err=0
lote 30/80: ok=150 bloq=0 err=0
lote 31/80: ok=155 bloq=0 err=0
lote 32/80: ok=160 bloq=0 err=0
lote 33/80: ok=165 bloq=0 err=0
lote 34/80: ok=170 bloq=0 err=0
lote 35/80: ok=175 bloq=0 err=0
lote 36/80: ok=180 bloq=0 err=0
lote 37/80: ok=185 bloq=0 err=0
lote 38/80: ok=190 bloq=0 err=0
lote 39/80: ok=195 bloq=0 err=0
lote 40/80: ok=200 bloq=0 err=0
lote 41/80: ok=205 bloq=0 err=0
lote 42/80: ok=210 bloq=0 err=0
lote 43/80: ok=215 bloq=0 err=0
lote 44/80: ok=220 bloq=0 err=0
lote 45/80: ok=225 bloq=0 err=0
lote 46/80: ok=230 bloq=0 err=0
lote 47/80: ok=235 bloq=0 err=0
lote 48/80: ok=240 bloq=0 err=0
lote 49/80: ok=245 bloq=0 err=0
lote 50/80: ok=250 bloq=0 err=0
lote 51/80: ok=255 bloq=0 err=0
lote 52/80: ok=260 bloq=0 err=0
lote 53/80: ok=265 bloq=0 err=0
lote 54/80: ok=270 bloq=0 err=0
lote 55/80: ok=275 bloq=0 err=0
lote 56/80: ok=280 bloq=0 err=0
lote 57/80: ok=285 bloq=0 err=0
lote 58/80: ok=290 bloq=0 err=0
lote 59/80: ok=295 bloq=0 err=0
lote 60/80: ok=300 bloq=0 err=0
lote 61/80: ok=305 bloq=0 err=0
lote 62/80: ok=310 bloq=0 err=0
lote 63/80: ok=315 bloq=0 err=0
lote 64/80: ok=320 bloq=0 err=0
lote 65/80: ok=325 bloq=0 err=0
lote 66/80: ok=330 bloq=0 err=0
lote 67/80: ok=335 bloq=0 err=0
lote 68/80: ok=340 bloq=0 err=0
lote 69/80: ok=345 bloq=0 err=0
lote 70/80: ok=350 bloq=0 err=0
lote 71/80: ok=355 bloq=0 err=0
lote 72/80: ok=360 bloq=0 err=0
lote 73/80: ok=365 bloq=0 err=0
lote 74/80: ok=370 bloq=0 err=0
lote 75/80: ok=375 bloq=0 err=0
lote 76/80: ok=380 bloq=0 err=0
lote 77/80: ok=385 bloq=0 err=0
lote 78/80: ok=390 bloq=0 err=0
lote 79/80: ok=395 bloq=0 err=0
lote 80/80: ok=400 bloq=0 err=0

🚀 *Disparo D+0 — fila varredura*
Enviados: 400 | bloqueados (já na base): 0 | falhas: 0
Restam na fila: 2977 leads.
